Movie,Earning,Rating
Ratatouille,8,10
Sicko,2,9
Knocked Up,3,8
Transformers,9,6.5
Live Free or Die Hard,7,6.5
Harry Potter and the Order of the Phoenix,10,5
1408,5,4
Ocean's Thirteen,1,3
Evan Almighty,4,2
License to Wed,6,1
